num,title,difficulty,up_vote,down_vote,score
500,Keyboard Row,Easy,784,839,0.4588129583594223
501,Find Mode in Binary Search Tree,Easy,1807,499,0.7663364150692223
502,IPO,Hard,669,63,0.8913939903287782
503,Next Greater Element II,Medium,3645,119,0.9622997233232995
504,Base 7,Easy,404,184,0.6484835012993159
506,Relative Ranks,Easy,273,14,0.9197956324799127
507,Perfect Number,Easy,487,794,0.3539841823282935
508,Most Frequent Subtree Sum,Medium,1240,192,0.8472909115644222
509,Fibonacci Number,Easy,2414,244,0.8966275613539084
513,Find Bottom Left Tree Value,Medium,1783,199,0.8855822618940539
514,Freedom Trail,Hard,630,31,0.9342002446147312
515,Find Largest Value in Each Tree Row,Medium,1725,76,0.9475005294001857
516,Longest Palindromic Subsequence,Medium,4363,236,0.9419247895640073
517,Super Washing Machines,Hard,486,174,0.70145033965812
518,Coin Change 2,Medium,4249,91,0.9743267806617157
519,Random Flip Matrix,Medium,268,84,0.7141635967275816
520,Detect Capital,Easy,961,313,0.7299363699778264
521,Longest Uncommon Subsequence I,Easy,529,5335,0.08314459897080775
522,Longest Uncommon Subsequence II,Medium,342,1011,0.2303359689712345
523,Continuous Subarray Sum,Medium,1123,173,0.8469082103335426
524,Longest Word in Dictionary through Deleting,Medium,1216,322,0.7695917958499454
525,Contiguous Array,Medium,3521,161,0.9491794919668891
526,Beautiful Arrangement,Medium,1786,260,0.8577885338784478
528,Random Pick with Weight,Medium,204,58,0.724529206746591
529,Minesweeper,Medium,1189,778,0.5826815051841139
530,Minimum Absolute Difference in BST,Easy,1695,108,0.9281821748952029
532,K-diff Pairs in an Array,Medium,1521,1693,0.4560227158763933
535,Encode and Decode TinyURL,Medium,1067,2065,0.324282707280589
537,Complex Number Multiplication,Medium,454,1077,0.2741918565248237
538,Convert BST to Greater Tree,Medium,3007,147,0.9454679699974013
539,Minimum Time Difference,Medium,819,186,0.7897312001752489
540,Single Element in a Sorted Array,Medium,4229,102,0.9714925163924552
541,Reverse String II,Easy,774,2059,0.2571148642574481
542,01 Matrix,Medium,3709,178,0.9471742007529345
543,Diameter of Binary Tree,Easy,6530,403,0.9361157222749953
546,Remove Boxes,Hard,1375,90,0.9250859288868319
547,Number of Provinces,Medium,4232,215,0.944949192045939
551,Student Attendance Record I,Easy,198,13,0.8974552042241853
552,Student Attendance Record II,Hard,947,168,0.8271319315283735
553,Optimal Division,Medium,235,1318,0.1343582391494957
554,Brick Wall,Medium,1664,91,0.936760729861679
556,Next Greater Element III,Medium,1750,304,0.8359820999853437
557,Reverse Words in a String III,Easy,2113,137,0.9284619495034003
558,Logical OR of Two Binary Grids Represented as Quad-Trees,Medium,121,388,0.2027903378903806
559,Maximum Depth of N-ary Tree,Easy,1746,68,0.9527497568198975
560,Subarray Sum Equals K,Medium,10039,332,0.9644226003419314
561,Array Partition I,Easy,580,106,0.8165159156829915
563,Binary Tree Tilt,Easy,1430,1837,0.4207814485123968
